status	status_detail	family	model	ckpt_label	source_line	nonempty_metrics	avg	lambada_openai	arc_easy	boolq	hellaswag	openbookqa	piqa	rte	winogrande
exclude	duplicate_noncanonical	1p4b	xsa-paper-1p4b-axon-hard-kftrue-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-gb8192-lr4e-4-minlr4e-5-s1337-lrlr10	xsa-paper-1p4b-axon-hard-kftrue-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-gb8192-lr4e-4-minlr4e-5-s1337-lrlr10	50	7	52.42	14.2795	52.02	61.13	47.98	31.8	70.35		51.22
exclude	duplicate_noncanonical	1p4b	xsa-paper-1p4b-xsa-lgate	xsa-paper-1p4b-xsa-lgate	53	7	42.06	4170.8366	32.24	52.42	30.05	30.2	57.67		49.8
exclude	unstable_lambada_gt_1000	1p4b	xsa-paper-1p4b-xsa-lgate	xsa-paper-1p4b-xsa-lgate	54	8	43.99	1803.5552	31.27	55.08	29.76	32.4	58.05	51.26	50.12
exclude	duplicate_noncanonical	1p4b	xsa-paper-1p4b-xsa-xfrself_value-xsppre_o_proj-xftattn-var-gamma-h1p0-xl0--1-xs1-gb8192-lr4e-4-minlr4e-5-s1337-lrlr10	xsa-paper-1p4b-xsa-xfrself_value-xsppre_o_proj-xftattn-var-gamma-h1p0-xl0--1-xs1-gb8192-lr4e-4-minlr4e-5-s1337-lrlr10	55	7	43.22	5712.9363	32.2	59.27	29.37	30.2	57.45		50.83
exclude	unstable_lambada_gt_1000	1p4b	xsa-paper-1p4b-xsa-xfrself_value-xsppre_o_proj-xftattn-var-gamma-h1p0-xl0--1-xs1-gb8192-lr4e-4-minlr4e-5-s1337-lrlr10	xsa-paper-1p4b-xsa-xfrself_value-xsppre_o_proj-xftattn-var-gamma-h1p0-xl0--1-xs1-gb8192-lr4e-4-minlr4e-5-s1337-lrlr10	56	8	44.87	2633.79	33.21	61.71	29.5	31.8	55.93	52.71	49.25
exclude	duplicate_noncanonical	1p4b	xsa-paper-1p4b-xsa-xfrself_value-xsppre_o_proj-xftattn-var-gamma-l1p0-xl0--1-xs1-gb8192-lr4e-4-minlr4e-5-s1337-lrlr10	xsa-paper-1p4b-xsa-xfrself_value-xsppre_o_proj-xftattn-var-gamma-l1p0-xl0--1-xs1-gb8192-lr4e-4-minlr4e-5-s1337-lrlr10	57	7	40.22	6.868755739049842e+17	23.74	61.83	25.61	29.4	51.2		49.57
exclude	unstable_lambada_gt_1000	1p4b	xsa-paper-1p4b-xsa-xfrself_value-xsppre_o_proj-xftattn-var-gamma-l1p0-xl0--1-xs1-gb8192-lr4e-4-minlr4e-5-s1337-lrlr10	xsa-paper-1p4b-xsa-xfrself_value-xsppre_o_proj-xftattn-var-gamma-l1p0-xl0--1-xs1-gb8192-lr4e-4-minlr4e-5-s1337-lrlr10	58	8	42.22	6.92782525355471e+17	23.74	61.8	25.67	29.4	51.47	52.71	50.75
exclude	duplicate_noncanonical	1p4b	xsa-paper-1p4b-xsa-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-bsz4-ga128-gb8192-lr4e-4-minlr4e-5-s1337-lrlr10	xsa-paper-1p4b-xsa-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-bsz4-ga128-gb8192-lr4e-4-minlr4e-5-s1337-lrlr10	59	7	39.8	1645.4787	30.09	42.57	29.42	30.8	55.39		50.51
exclude	unstable_lambada_gt_1000	1p4b	xsa-paper-1p4b-xsa-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-bsz4-ga128-gb8192-lr4e-4-minlr4e-5-s1337-lrlr10	xsa-paper-1p4b-xsa-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-bsz4-ga128-gb8192-lr4e-4-minlr4e-5-s1337-lrlr10	60	8	42.47	1628.4774	27.44	46.33	29.59	33.4	56.64	53.07	50.83
exclude	duplicate_noncanonical	1p4b	xsa-paper-1p4b-xsa-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb8192-lr4e-4-s1337	xsa-paper-1p4b-xsa-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb8192-lr4e-4-s1337	61	7	41.68	9358.9728	28.83	54.98	28.51	29.2	56.86		51.7
exclude	unstable_lambada_gt_1000	1p4b	xsa-paper-1p4b-xsa-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb8192-lr4e-4-s1337	xsa-paper-1p4b-xsa-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb8192-lr4e-4-s1337	62	8	43.17	8440.7312	29.08	53.43	29.4	30.4	56.42	52.35	51.14
keep	main_analysis	2p7b	xsa-paper-2p7b-attn_para_removal-xfrresidual-xsppost_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb256-lr3e-4-s1337	xsa-paper-2p7b-attn_para_removal-xfrresidual-xsppost_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb256-lr3e-4-s1337	63	8	43.82	41.1415	31.94	62.08	25.02	31.6	55.11	50.54	50.43
keep	main_analysis	2p7b	xsa-paper-2p7b-attn_para_removal-xfrresidual-xsppost_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb8192-lr3e-4-s1337	xsa-paper-2p7b-attn_para_removal-xfrresidual-xsppost_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb8192-lr3e-4-s1337	64	8	45.49	14.4106	37.71	60.49	26.45	33.6	59.19	52.35	48.62
keep	main_analysis	2p7b	xsa-paper-2p7b-axon-hard-kftrue-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-fw-ctx2048-gb8192-lr3e-4-min3e-5-s1337-lrlr10	xsa-paper-2p7b-axon-hard-kftrue-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-fw-ctx2048-gb8192-lr3e-4-min3e-5-s1337-lrlr10	68	8	52.96	15.1051	52.69	59.36	46.53	32.6	70.95	55.96	52.64
keep	main_analysis	2p7b	xsa-paper-2p7b-axon-hard-kftrue-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-gb8192-lr3e-4-minlr3e-5-s1337-lrlr10	xsa-paper-2p7b-axon-hard-kftrue-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-gb8192-lr3e-4-minlr3e-5-s1337-lrlr10	70	8	49.29	29.9633	46.93	59.97	37.76	29.2	67.57	52.35	51.22
keep	main_analysis	2p7b	xsa-paper-2p7b-baseline-fineweb100bt-ctx2048-gb256-lr3e-4-s1337	xsa-paper-2p7b-baseline-fineweb100bt-ctx2048-gb256-lr3e-4-s1337	72	8	46.21	16.6395	35.02	61.1	28.32	31.0	62.13	54.51	51.38
keep	main_analysis	2p7b	xsa-paper-2p7b-baseline-fineweb100bt-ctx2048-gb8192-lr3e-4-s1337	xsa-paper-2p7b-baseline-fineweb100bt-ctx2048-gb8192-lr3e-4-s1337	74	8	49.02	9.3816	44.95	62.69	29.9	32.6	65.51	54.87	52.64
