model,setting,openbookqa,piqa,rte,winogrande,boolq,arc_challenge,hellaswag,mmlu,gsm8k,humaneval,nq_open,drop,mbpp,bbh_cot_zeroshot,mts_dialog,ruler,truthfulqa_gen,avg
meta-llama_Llama-3.2-3B,xsa_middle_multihead-keep_parallel-a1p0,28.2,51.41,52.71,48.93,55.72,25.17,25.69,26.0,0.0,0.0,0.11,2.19,0.0,0.0,,,,22.58
meta-llama_Llama-3.2-3B,xsa_middle_multihead-remove_parallel-a1p0,40.8,,,,,,,,,,,,,,,,,40.8
meta-llama_Meta-Llama-3-8B,none,45.4,80.74,70.04,76.87,81.77,58.96,82.11,32.0,49.89,37.8,29.34,1.8,49.0,79.6,,,,55.38
meta-llama_Meta-Llama-3-8B,xsa_middle_multihead,45.0,80.3,69.68,77.19,81.8,59.39,82.18,30.0,49.51,39.02,29.28,1.84,47.6,80.0,,,2507.03,218.65
meta-llama_Meta-Llama-3-8B,xsa_middle_multihead-add_parallel-a1p0,44.6,80.74,70.04,76.95,81.96,58.36,82.11,28.0,49.05,36.59,29.22,1.74,48.8,81.6,,,,54.98
meta-llama_Meta-Llama-3-8B,xsa_middle_multihead-keep_parallel-a1p0,28.2,51.69,52.71,49.57,37.83,23.89,,,,,,,,,,,,40.65
meta-llama_Meta-Llama-3-8B-Instruct,none,44.4,76.55,75.45,73.32,84.65,62.37,72.41,40.0,68.01,57.32,22.63,8.65,55.8,85.6,,,,59.08
meta-llama_Meta-Llama-3-8B-Instruct,xsa_middle_multihead,44.6,76.88,75.81,73.8,84.68,62.03,72.46,39.0,68.01,55.49,22.44,8.66,55.6,84.8,,,501.98,88.42
meta-llama_Meta-Llama-3-8B-Instruct,xsa_middle_multihead-add_parallel-a1p0,44.6,76.17,75.45,73.8,84.46,62.37,72.65,38.0,67.17,56.71,22.8,8.62,58.0,85.6,,,,59.03
meta-llama_Meta-Llama-3-8B-Instruct,xsa_middle_multihead-keep_parallel-a1p0,30.2,51.2,52.71,46.88,37.83,24.49,25.44,22.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20.77
