model_size,curve_name,original_run_name,x_name,step,val_loss,clip_min_step,clip_max_step
436m,Residual Rotation,run_20260415_b61fbe62,Step,1313.0,3.009663,600,4242.0
436m,Residual Rotation,run_20260415_b61fbe62,Step,1414.0,2.980895,600,4242.0
436m,Residual Rotation,run_20260415_b61fbe62,Step,1515.0,2.982723,600,4242.0
436m,Residual Rotation,run_20260415_b61fbe62,Step,1616.0,2.94995,600,4242.0
436m,Residual Rotation,run_20260415_b61fbe62,Step,1717.0,2.950055,600,4242.0
436m,Residual Rotation,run_20260415_b61fbe62,Step,1818.0,2.951553,600,4242.0
436m,Residual Rotation,run_20260415_b61fbe62,Step,1919.0,2.933878,600,4242.0
436m,Residual Rotation,run_20260415_b61fbe62,Step,2020.0,2.923495,600,4242.0
436m,Residual Rotation,run_20260415_b61fbe62,Step,2121.0,2.918849,600,4242.0
436m,Residual Rotation,run_20260415_b61fbe62,Step,2222.0,2.906229,600,4242.0
436m,Residual Rotation,run_20260415_b61fbe62,Step,2323.0,2.901838,600,4242.0
436m,Residual Rotation,run_20260415_b61fbe62,Step,2424.0,2.891773,600,4242.0
436m,Residual Rotation,run_20260415_b61fbe62,Step,2525.0,2.884878,600,4242.0
436m,Residual Rotation,run_20260415_b61fbe62,Step,2626.0,2.89002,600,4242.0
436m,Residual Rotation,run_20260415_b61fbe62,Step,2727.0,2.883174,600,4242.0
436m,Residual Rotation,run_20260415_b61fbe62,Step,2828.0,2.88326,600,4242.0
436m,Residual Rotation,run_20260415_b61fbe62,Step,2929.0,2.864254,600,4242.0
436m,Residual Rotation,run_20260415_b61fbe62,Step,3030.0,2.869559,600,4242.0
436m,Residual Rotation,run_20260415_b61fbe62,Step,3131.0,2.87168,600,4242.0
436m,Residual Rotation,run_20260415_b61fbe62,Step,3232.0,2.858226,600,4242.0
436m,Residual Rotation,run_20260415_b61fbe62,Step,3333.0,2.858298,600,4242.0
436m,Residual Rotation,run_20260415_b61fbe62,Step,3434.0,2.848686,600,4242.0
436m,Residual Rotation,run_20260415_b61fbe62,Step,3535.0,2.85374,600,4242.0
436m,Residual Rotation,run_20260415_b61fbe62,Step,3636.0,2.844048,600,4242.0
436m,Residual Rotation,run_20260415_b61fbe62,Step,3737.0,2.823119,600,4242.0
436m,Residual Rotation,run_20260415_b61fbe62,Step,3838.0,2.838859,600,4242.0
436m,Residual Rotation,run_20260415_b61fbe62,Step,3939.0,2.843843,600,4242.0
436m,Residual Rotation,run_20260415_b61fbe62,Step,4040.0,2.836513,600,4242.0
436m,Residual Rotation,run_20260415_b61fbe62,Step,4141.0,2.819623,600,4242.0
436m,Residual Rotation,run_20260415_b61fbe62,Step,4242.0,2.835831,600,4242.0
436m,Value-Space Rotation,run_20260430_d98901fd,Step,606.0,3.143294,600,4242.0
436m,Value-Space Rotation,run_20260430_d98901fd,Step,707.0,3.086737,600,4242.0
436m,Value-Space Rotation,run_20260430_d98901fd,Step,808.0,3.04823,600,4242.0
436m,Value-Space Rotation,run_20260430_d98901fd,Step,909.0,3.039069,600,4242.0
436m,Value-Space Rotation,run_20260430_d98901fd,Step,1010.0,2.998794,600,4242.0
436m,Value-Space Rotation,run_20260430_d98901fd,Step,1111.0,2.992812,600,4242.0
436m,Value-Space Rotation,run_20260430_d98901fd,Step,1212.0,2.957182,600,4242.0
436m,Value-Space Rotation,run_20260430_d98901fd,Step,1313.0,2.961234,600,4242.0
436m,Value-Space Rotation,run_20260430_d98901fd,Step,1414.0,2.935272,600,4242.0
436m,Value-Space Rotation,run_20260430_d98901fd,Step,1515.0,2.93923,600,4242.0
436m,Value-Space Rotation,run_20260430_d98901fd,Step,1616.0,2.90675,600,4242.0
436m,Value-Space Rotation,run_20260430_d98901fd,Step,1717.0,2.909786,600,4242.0
436m,Value-Space Rotation,run_20260430_d98901fd,Step,1818.0,2.912143,600,4242.0
436m,Value-Space Rotation,run_20260430_d98901fd,Step,1919.0,2.897116,600,4242.0
436m,Value-Space Rotation,run_20260430_d98901fd,Step,2020.0,2.888332,600,4242.0
436m,Value-Space Rotation,run_20260430_d98901fd,Step,2121.0,2.885256,600,4242.0
436m,Value-Space Rotation,run_20260430_d98901fd,Step,2222.0,2.873758,600,4242.0
436m,Value-Space Rotation,run_20260430_d98901fd,Step,2323.0,2.867703,600,4242.0
436m,Value-Space Rotation,run_20260430_d98901fd,Step,2424.0,2.859904,600,4242.0
436m,Value-Space Rotation,run_20260430_d98901fd,Step,2525.0,2.854448,600,4242.0
436m,Value-Space Rotation,run_20260430_d98901fd,Step,2626.0,2.859529,600,4242.0
436m,Value-Space Rotation,run_20260430_d98901fd,Step,2727.0,2.855167,600,4242.0
436m,Value-Space Rotation,run_20260430_d98901fd,Step,2828.0,2.854187,600,4242.0
436m,Value-Space Rotation,run_20260430_d98901fd,Step,2929.0,2.836848,600,4242.0
436m,Value-Space Rotation,run_20260430_d98901fd,Step,3030.0,2.842893,600,4242.0
436m,Value-Space Rotation,run_20260430_d98901fd,Step,3131.0,2.844369,600,4242.0
436m,Value-Space Rotation,run_20260430_d98901fd,Step,3232.0,2.831732,600,4242.0
436m,Value-Space Rotation,run_20260430_d98901fd,Step,3333.0,2.832745,600,4242.0
436m,Value-Space Rotation,run_20260430_d98901fd,Step,3434.0,2.823617,600,4242.0
436m,Value-Space Rotation,run_20260430_d98901fd,Step,3535.0,2.828193,600,4242.0
436m,Value-Space Rotation,run_20260430_d98901fd,Step,3636.0,2.819027,600,4242.0
436m,Value-Space Rotation,run_20260430_d98901fd,Step,3737.0,2.79997,600,4242.0
