model,layer,head,delta_loss,bootstrap_delta_loss,ci95_low,ci95_high,p_improve,sign_flip_p,ci_class,para_ratio,para_over_ref,edit_over_y,edit_over_ref,samples,tokens,sign_flip_q_global,fdr_global_class,sign_flip_q_model,fdr_model_class
qwen3_4b,31,14,-0.00032373702051113895,-0.00032379477529341136,-0.0008963032378506628,0.00020733378693393048,0.8802,0.24907509249075094,inconclusive,0.0600823693500777,0.017087737749667306,0.17155031128709192,0.01708773781056605,128,19526,0.4244593292150075,inconclusive,0.4782241775822418,inconclusive
qwen3_4b,31,15,-0.00023871416636778164,-0.00023874008886323018,-0.0007232597725155733,0.0002722472082299895,0.8204,0.35426457354264573,inconclusive,0.06612483934424389,0.019099457997776386,0.18198582440957256,0.01909945805867513,128,19526,0.5205520264300101,inconclusive,0.5575311321326883,inconclusive
qwen3_4b,31,16,-0.0013339710714239672,-0.0013339975922246649,-0.0020807675022114585,-0.0005817199177741224,0.9994,0.0010998900109989002,improve,0.2403707881844668,0.11726166102773537,0.4177888073683699,0.11726166005335549,128,19526,0.0045252617595383324,improve,0.0045908452632997575,improve
qwen3_4b,31,17,-0.0034142052383678845,-0.0034143168772633272,-0.004381893186263759,-0.0024705456906706177,1.0,9.999000099990002e-05,improve,0.25108115341167037,0.129751986409817,0.44617160685065455,0.129751986409817,128,19526,0.0005332800053328001,improve,0.0005332800053328001,improve
qwen3_4b,31,18,0.0008188826156469986,0.0008188103428021765,-0.00013651438558359182,0.001807317870328769,0.0474,0.10058994100589941,inconclusive,0.27972418832596235,0.10965160939885282,0.4633315280022749,0.10965160939885282,128,19526,0.21459187414591874,inconclusive,0.23552766674552056,inconclusive
qwen3_4b,31,19,-0.0011079978298167426,-0.0011080975148151074,-0.002009756785028116,-0.00020228393009008857,0.9904,0.0164983501649835,improve,0.29465807431197866,0.15478222141777417,0.4863069478274914,0.15478222239215408,128,19526,0.050548136675694126,inconclusive,0.0527947205279472,inconclusive
qwen3_4b,31,20,-0.0003324518630609674,-0.00033257037636247875,-0.0008052561547008693,0.00014400240900997203,0.916,0.17518248175182483,inconclusive,0.08384059745233177,0.018309604771444776,0.21754613513386264,0.018309604771444776,128,19526,0.3276139918475685,inconclusive,0.35781953719521664,inconclusive
qwen3_4b,31,21,-0.00035344500601786066,-0.0003534893660861352,-0.0009064347881261502,0.00019140550452502938,0.8984,0.2273772622737726,inconclusive,0.0821036035530412,0.016099308520593558,0.2110299530613925,0.016099308459694813,128,19526,0.40174632843464114,inconclusive,0.4517425808439564,inconclusive
qwen3_4b,31,22,-0.00015277856687889724,-0.00015280911708285937,-0.0008370332575023576,0.0005223868463599652,0.6692,0.6619338066193381,inconclusive,0.1725508084546865,0.0451884502347554,0.30264045257373484,0.0451884502347554,128,19526,0.7910246319766364,inconclusive,0.7943205679432057,inconclusive
qwen3_4b,31,23,0.00029891784911795227,0.00029887064404630713,-0.00023531899833041092,0.0008493768924129335,0.1378,0.29127087291270876,inconclusive,0.1180060068766276,0.02264837347836939,0.25134606099524565,0.02264837347836939,128,19526,0.4559022358633702,inconclusive,0.49056147016877266,inconclusive
qwen3_4b,31,24,0.00011244272460420035,0.00011237843730441618,-0.0004540348808817622,0.0006809108360036286,0.352,0.698030196980302,inconclusive,0.21493537971038623,0.04914554045422628,0.3929488551114254,0.04914554045422628,128,19526,0.8106157126222862,inconclusive,0.8141836418767762,inconclusive
qwen3_4b,31,25,0.00015349125845043332,0.0001533855537673214,-0.0004772388692724082,0.0007941725198841131,0.3184,0.641035896410359,inconclusive,0.2508412786218246,0.057471658748076186,0.395828576410715,0.05747165923526613,128,19526,0.7757073032192578,inconclusive,0.7942901912340411,inconclusive
qwen3_4b,31,26,-0.0010299518510574757,-0.0010300393257426346,-0.0019450640538199201,-4.728696236111869e-05,0.979,0.0400959904009599,improve,0.4253617287900104,0.16266517736598146,0.560032283544236,0.16266517639160155,128,19526,0.10310397531675404,inconclusive,0.1166428811664288,inconclusive
qwen3_4b,31,27,-0.0006183912235608879,-0.0006184260840055995,-0.0012418404084896947,2.7444150039723078e-05,0.9696,0.0580941905809419,inconclusive,0.1315282999479603,0.034028615622684874,0.2684639883224078,0.034028615622684874,128,19526,0.1405977049353888,inconclusive,0.15073087285866008,inconclusive
qwen3_4b,31,28,-0.0009645717768935747,-0.0009645994210431264,-0.0014529999363775887,-0.0004641193773605288,1.0,0.00019998000199980003,improve,0.09678338295655232,0.037835993590178314,0.25340699625806945,0.037835993590178314,128,19526,0.0010104252732621476,improve,0.0009599040095990401,improve
qwen3_4b,31,29,-0.0004595235199222891,-0.0004596231072381006,-0.0009749059027468884,7.983781373465179e-05,0.95,0.09479052094790522,inconclusive,0.1387202251916644,0.053724930082396684,0.33477571178061144,0.053724930082396684,128,19526,0.20993320515276714,inconclusive,0.22749725027497253,inconclusive
qwen3_4b,31,30,0.0006606900934968962,0.0006606088338615732,2.324972030604656e-05,0.0012898746000640257,0.0226,0.0451954804519548,degrade,0.1307248876773839,0.047260500736163495,0.3043380269602341,0.047260500492568525,128,19526,0.11318520321880855,inconclusive,0.1276107683349312,inconclusive
qwen3_4b,31,31,-0.00029699233153879234,-0.00029703307735447416,-0.0008118813776030067,0.00021039606143742626,0.8738,0.26547345265473454,inconclusive,0.07019526358612957,0.03370136757920072,0.20261706355887812,0.03370136733560574,128,19526,0.4393197043931971,inconclusive,0.4901048356702792,inconclusive
qwen3_8b,6,0,4.7175180688530105e-05,4.725520708247627e-05,-0.0007413740840834953,0.0008464666139573947,0.4524,0.905009499050095,inconclusive,0.19249778737814796,0.13570765352797234,0.3496871392845651,0.13570765450235223,128,19526,0.9538783347942578,inconclusive,0.95020285205522,inconclusive
qwen3_8b,6,1,5.9566011343825664e-05,5.9564698735160634e-05,-0.0008012680418064066,0.000904811202816405,0.4502,0.8962103789621038,inconclusive,0.18257879985551115,0.121263023659035,0.3290142093429468,0.12126302414622496,128,19526,0.9513636871606957,inconclusive,0.95020285205522,inconclusive
qwen3_8b,6,2,0.00041612435422644367,0.00041616862271758335,-0.0004531992624484365,0.001243344271162723,0.181,0.3334666533346665,inconclusive,0.0812521112376246,0.08693798937255548,0.19967539605814227,0.08693798937255548,128,19526,0.4959339117634628,inconclusive,0.5257441468967857,inconclusive
qwen3_8b,6,3,0.0004920697683536979,0.000492146705538355,-0.00031059427364412464,0.0013134421894520187,0.114,0.24737526247375263,inconclusive,0.11750148222668721,0.10581495594399795,0.25609068011872155,0.10581495594399795,128,19526,0.42407187852643313,inconclusive,0.47496050394960504,inconclusive
qwen3_8b,6,4,0.00038530356959975975,0.00038529674403432767,-0.0005611532417481611,0.0013758601438162757,0.2284,0.46265373462653736,inconclusive,0.10478172253527099,0.10191298395890082,0.24133286262989653,0.10191298347171086,128,19526,0.6393236274458678,inconclusive,0.6852237853137764,inconclusive
qwen3_8b,6,5,-0.0006894603269356203,-0.0006893457209344747,-0.0016325997975668795,0.00024535097607618095,0.9292,0.15978402159784022,inconclusive,0.3888398590672519,0.23914380615546177,0.5253653476369183,0.23914380615546177,128,19526,0.3007699230076992,inconclusive,0.35672711798587586,inconclusive
qwen3_8b,6,6,-0.0007612296185213197,-0.0007611453368333377,-0.0017909113774948603,0.00019139740961936195,0.9418,0.14008599140085992,inconclusive,0.08870756361219619,0.07015563433806711,0.22596642115411478,0.07015563433806711,128,19526,0.2744541872343378,inconclusive,0.339712370226392,inconclusive
qwen3_8b,6,7,0.0005067362106934148,0.0005068092955241838,-0.00040541978779813897,0.0014657757142095566,0.1412,0.29387061293870614,inconclusive,0.13767853465269048,0.12319911308824483,0.3119193046638031,0.12319911357543478,128,19526,0.45748506230458036,inconclusive,0.494939979686242,inconclusive
qwen3_8b,6,8,0.000986540182001061,0.000986510254522822,-0.00013826287714509243,0.00205364004422966,0.0458,0.0836916308369163,inconclusive,0.11821674916936063,0.1329710350182778,0.26568226722921906,0.1329710350182778,128,19526,0.19282551744825516,inconclusive,0.2672732726727327,inconclusive
qwen3_8b,6,9,-6.743062535186084e-05,-6.74327194208397e-05,-0.0015494476386455414,0.0014106259954697047,0.5442,0.9294070592940706,inconclusive,0.47748582628038194,0.3429442297300921,0.5812533752519357,0.3429442297300921,128,19526,0.9604200870235556,inconclusive,0.95020285205522,inconclusive
qwen3_8b,6,10,-0.0010449808908634672,-0.001044965811126437,-0.0021879296071661215,0.00010440167243235332,0.9618,0.08159184081591841,inconclusive,0.20540382024733347,0.1816584824602266,0.37624468748596895,0.1816584824602266,128,19526,0.1895036302821331,inconclusive,0.2672732726727327,inconclusive
