method,component,layer,alpha,alpha_std,para_abs,para_abs_std,perp_abs,perp_abs_std,x_norm,x_norm_std,delta_norm,delta_norm_std,delta_over_x,delta_over_x_std,para_over_x,para_over_x_std,perp_over_x,perp_over_x_std,perp_ratio,perp_ratio_std,count
dense_baseline_track,mlp_out,12,-1.0,0.0,14.206377983093262,2.9714574813842773,0.0,0.0,14.206377983093262,2.9714574813842773,14.206377983093262,2.9714574813842773,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,mlp_out,13,-1.0,0.0,14.665913581848145,3.003563404083252,0.0,0.0,14.665913581848145,3.003563404083252,14.665913581848145,3.003563404083252,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,mlp_out,14,-1.0,0.0,14.308375358581543,1.7635021209716797,0.0,0.0,14.308375358581543,1.7635021209716797,14.308375358581543,1.7635021209716797,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,mlp_out,15,-1.0,0.0,14.209195137023926,2.527757167816162,0.0,0.0,14.209195137023926,2.527757167816162,14.209195137023926,2.527757167816162,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,mlp_out,16,-1.0,0.0,14.213532447814941,2.2408463954925537,0.0,0.0,14.213532447814941,2.2408463954925537,14.213532447814941,2.2408463954925537,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,mlp_out,17,-1.0,0.0,15.110057830810547,1.7454731464385986,0.0,0.0,15.110057830810547,1.7454731464385986,15.110057830810547,1.7454731464385986,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,mlp_out,18,-1.0,0.0,15.306750297546387,2.743739604949951,0.0,0.0,15.306750297546387,2.743739604949951,15.306750297546387,2.743739604949951,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,mlp_out,19,-1.0,0.0,19.548030853271484,2.715644598007202,0.0,0.0,19.548030853271484,2.715644598007202,19.548030853271484,2.715644598007202,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,mlp_out,20,-1.0,0.0,18.867536544799805,3.018406629562378,0.0,0.0,18.867536544799805,3.018406629562378,18.867536544799805,3.018406629562378,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,mlp_out,21,-1.0,0.0,20.359437942504883,1.1511050462722778,0.0,0.0,20.359437942504883,1.1511050462722778,20.359437942504883,1.1511050462722778,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,mlp_out,22,-1.0,0.0,25.439254760742188,2.180009603500366,0.0,0.0,25.439254760742188,2.180009603500366,25.439254760742188,2.180009603500366,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,mlp_out,23,-1.0,0.0,29.80021095275879,2.622103691101074,0.0,0.0,29.80021095275879,2.622103691101074,29.80021095275879,2.622103691101074,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,mlp_out,24,-1.0,0.0,32.281436920166016,3.7535953521728516,0.0,0.0,32.281436920166016,3.7535953521728516,32.281436920166016,3.7535953521728516,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,mlp_out,25,-1.0,0.0,36.582828521728516,6.259709358215332,0.0,0.0,36.582828521728516,6.259709358215332,36.582828521728516,6.259709358215332,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,mlp_out,26,-1.0,0.0,37.251007080078125,5.993751049041748,0.0,0.0,37.251007080078125,5.993751049041748,37.251007080078125,5.993751049041748,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,mlp_out,27,-1.0,0.0,40.744171142578125,6.577503204345703,0.0,0.0,40.744171142578125,6.577503204345703,40.744171142578125,6.577503204345703,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,mlp_out,28,-1.0,0.0,48.13186264038086,8.781499862670898,0.0,0.0,48.13186264038086,8.781499862670898,48.13186264038086,8.781499862670898,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,mlp_out,29,-1.0,0.0,48.9538459777832,7.520463466644287,0.0,0.0,48.9538459777832,7.520463466644287,48.9538459777832,7.520463466644287,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,mlp_out,30,-1.0,0.0,59.12934494018555,6.684651851654053,0.0,0.0,59.12934494018555,6.684651851654053,59.12934494018555,6.684651851654053,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,mlp_out,31,-1.0,0.0,64.48601531982422,7.8522114753723145,0.0,0.0,64.48601531982422,7.8522114753723145,64.48601531982422,7.8522114753723145,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,mlp_out,32,-1.0,0.0,75.88117218017578,10.376106262207031,0.0,0.0,75.88117218017578,10.376106262207031,75.88117218017578,10.376106262207031,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,mlp_out,33,-1.0,0.0,104.89154815673828,19.515968322753906,0.0,0.0,104.89154815673828,19.515968322753906,104.89154815673828,19.515968322753906,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,mlp_out,34,-1.0,0.0,146.5600128173828,13.341517448425293,0.0,0.0,146.5600128173828,13.341517448425293,146.5600128173828,13.341517448425293,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,mlp_out,35,-1.0,0.0,306.6493225097656,29.164939880371094,0.0,0.0,306.6493225097656,29.164939880371094,306.6493225097656,29.164939880371094,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
